Rhus typhina
Parthenocissus quinquefolia
Spiraea billardii
Prunus laurocerasus
Rosa rugosa
Pistia stratiotes
Solidago gigantea
Rubus armeniacus
Robinia pseudoacacia
Acer negundo
Ailanthus altissima
Azolla filiculoides
Cotoneaster horizontalis
Elaeagnus angustifolia
Elodea nuttallii
Fallopia baldschuanica
Fraxinus pennsylvanica
Helianthus tuberosus
Helianthus laetiflorus
Heracleum mantegazzianum
Hydrocotyle ranunculoides
Impatiens glandulifera
Koenigia polystachya
Laburnum anagyroides
Lagarosiphon major
Lemna minuta
Reynoutria japonica
Prunus serotina
Parthenocissus tricuspidata
Mahonia aquifolium
Parthenocissus inserta
Spiraea douglasii
Reynoutria bohemica
Rudbeckia laciniata
Ludwigia grandiflora
Reynoutria sachalinensis
Solidago canadensis
Myriophyllum aquaticum
Ludwigia peploides
