Rhus typhina
Parthenocissus quinquefolia
Prunus laurocerasus
Rosa rugosa
Solidago gigantea
Rubus armeniacus
Robinia pseudoacacia
Acer negundo
Ailanthus altissima
Azolla filiculoides
Baccharis halimifolia
Cotoneaster horizontalis
Elaeagnus angustifolia
Elodea nuttallii
Fallopia baldschuanica
Fraxinus pennsylvanica
Helianthus tuberosus
Heracleum mantegazzianum
Hydrocotyle ranunculoides
Impatiens capensis
Impatiens glandulifera
Laburnum anagyroides
Lemna minuta
Reynoutria japonica
Myriophyllum rubricaule
Prunus serotina
Parthenocissus tricuspidata
Mahonia aquifolium
Parthenocissus inserta
Spiraea douglasii
Reynoutria bohemica
Ludwigia grandiflora
Reynoutria sachalinensis
Solidago canadensis
Myriophyllum aquaticum
